compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id
Ethanol,Drosophila mojavensis,A300,4%,,,71.03,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A300,2%,,,123.26,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,4%,,,57.39,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,2%,,,80.71,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,4%,,,119.56,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,2%,,,145.62,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,4%,,,124.24,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,2%,,,94.33,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A316b,4%,,,52.04,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A316b,2%,,,105.71,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A572,4%,,,74.94,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A572,2%,,,103.88,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A374,4%,,,19.75,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A374,2%,,,58.11,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A429,4%,,,-1.96,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A429,2%,,,2.51,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A376,4%,,,31.53,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A376,2%,,,101.79,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A422,4%,,,47.75,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A422,2%,,,37.7,NA,,NA,Female,,NA,No,13369
