compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id
Ethanol,Drosophila mojavensis,A300,4%,,,81.29,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A300,2%,,,50.66,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,4%,,,20.88,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,2%,,,83.67,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,4%,,,37.39,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,2%,,,62.6,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,4%,,,70.77,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,2%,,,92.26,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A316b,4%,,,42.69,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A316b,2%,,,70.77,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A572,4%,,,55.38,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A572,2%,,,52.76,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A374,4%,,,29.7,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A374,2%,,,67.08,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A429,4%,,,66.34,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A429,2%,,,100.38,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A376,4%,,,36.14,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A376,2%,,,75.73,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A422,4%,,,23.15,NA,,NA,Male,,NA,No,13369
