compound_name,observed_robustness_score,null_mean_score,null_std_score,null_exceedance_rate,empirical_p_value,null_z_score
(2R)-1-(1-benzofuran-2-yl)-N-propylpentane-2-amine,0.4515,0.29492063999999996,0.18070316001495493,0.239,0.23976023976023977,0.8665003975970403
(Iso)lappaol A,0.4487,0.36926987,0.15432246193112362,0.45,0.45054945054945056,0.5147023252872341
(R)-2-hydroxyglutarate,0.4804,0.37557501000000004,0.1502111022308268,0.027,0.027972027972027972,0.6978511471070707
"(R,R)-cis-Diethyl tetrahydro-2,8-chrysenediol",0.4445,0.36837492000000005,0.1551589734826626,0.577,0.5774225774225774,0.49062634465357646
"(R/S)-1,3-butanediol",0.4619444444444445,0.33704929444444454,0.1299040543207852,0.28,0.2807192807192807,0.9614415089122912
(S)-2-hydroxyglutarate,0.4693,0.36247848,0.1586677154278387,0.086,0.08691308691308691,0.6732404239385542
"1,2,3-Triazolyl ester of ketorolac",0.4525,0.37111342999999997,0.1527130253368556,0.347,0.34765234765234765,0.5329379718624322
"1,2,4-triazolo[1,5-a]pyridine",0.4495,0.37254401,0.15170299315115673,0.433,0.43356643356643354,0.5072806304047089
"1,3-dimemethyl Xan",0.44304,0.37332605,0.15219109819006335,0.638,0.6383616383616384,0.4580685127387538
"1,7-dimethylxanthine",0.45225,0.36623688,0.15656263516390365,0.37,0.3706293706293706,0.5493847233086863
1-methyl nicotinamide,0.4452,0.36520883000000004,0.15635063011491543,0.56,0.5604395604395604,0.5116139918413352
1-methylxanthine,0.44255,0.36425189,0.15755311312293357,0.627,0.6273726273726273,0.4969632681196626
10-hydroxy-2-decenoic Acid,0.4475,0.37016157000000005,0.1544198122231571,0.522,0.5224775224775224,0.5008323018048725
16(17)-epoxy-21-acetoxy-5-pregnenolone,0.0875,0.37271153,0.1522815449033766,1.0,1.0,-1.8729224882829245
16-alpha-hydroxyestradiol,0.3609444444444444,0.3462408944444444,0.1224558186649271,0.543,0.5434565434565435,0.12007228533772642
17-dimethylaminoethylamino-17-demethoxygeldanamycin hydrochloride,0.3594444444444444,0.3379210944444444,0.12872780821282365,0.592,0.5924075924075924,0.1672004697261355
17‐alpha‐estradiol,0.5117222222222222,0.4177994222222222,0.10125429319920766,0.071,0.07192807192807193,0.9275932608133098
18α-Glycyrrhetinic acid,0.4897255555555555,0.41254342888888884,0.10689416324201534,0.283,0.2837162837162837,0.7220424794562574
"2,2'-diaminodiethyl disulfide dihydrochloride",0.19305555555555554,0.34313442222222224,0.12414934632684227,0.954,0.954045954045954,-1.208857485818419
"2,3-Dehydrosilybin A",0.45005,0.36742458,0.1555044561934596,0.392,0.3926073926073926,0.531337956625549
"2,3-Dehydrosilybin B",0.44468,0.37406167000000007,0.15028934551627773,0.588,0.5884115884115884,0.46988247741321976
"2,3-Dihydroxybenzoic acid",0.4816522222222222,0.35096563555555554,0.12508295505087919,0.204,0.2047952047952048,1.0447993222858232
"2,3-dehydrosilybin",0.4630994444444445,0.39781367944444446,0.11214040471921698,0.548,0.5484515484515484,0.5821787888448055
"2,4-dinitrophenol",0.896485,0.8088087316666667,0.1291913465906491,0.257,0.25774225774225773,0.6786543421607104
"2,4-pyridinedicarboxylic acid",0.0875,0.36683384,0.1560177200027433,1.0,1.0,-1.7903981675612772
"2,5-Di-tert-butylhydroquinone",0.49245555555555554,0.4090894322222222,0.10838598389328714,0.207,0.2077922077922078,0.7691596305977398
"2,5-Dimethyl-Celecoxib",0.4656794444444445,0.34230704444444443,0.13062092772002504,0.25,0.25074925074925075,0.9445071486893617
2-(2-hydroxyphenyl)benzothiazole,0.20694444444444443,0.3415432444444444,0.12697313286108997,0.845,0.8451548451548452,-1.060057328405471
2-Ethyl-6-methylpyridin-3-ol hydrochloride,0.5228447222222222,0.41656034847222223,0.09739842855153966,0.046,0.04695304695304695,1.091232942159413
2-Oxothiazolidine-4-carboxylate,0.0875,0.16529927999999997,0.15298570096672956,1.0,1.0,-0.5085395530979677
2-Selenium-bridged-beta-cyclodextrin,0.4649094444444445,0.39860057444444447,0.11410079282666315,0.521,0.5214785214785215,0.5811429382505124
2-deoxy-D-glucose,0.47651444444444446,0.39350655944444446,0.11382821101401788,0.185,0.18581418581418582,0.7292382464816005
2-mercaptoethylamine hydrochloride,0.1947222222222222,0.33511105555555554,0.12762744668576495,0.745,0.7452547452547452,-1.099989359490898
25-Azacoprostane,0.0875,0.36752826,0.15553165047787668,1.0,1.0,-1.8004583577657858
"3,3'-thiodipropionic acid",0.4701444444444445,0.29217815444444445,0.14065308347628183,0.194,0.19480519480519481,1.2652853787596507
"3,3-diethyl-2-pyrrolidinone",0.4685,0.37045953000000004,0.15367085331603747,0.091,0.0919080919080919,0.6379900149208597
"3,4'-Dihydroxyflavone",0.4572094444444445,0.39887780444444443,0.10954743982179778,0.605,0.6053946053946054,0.5324783499722942
"3,4-dichloroisocoumarin",0.4505,0.37477559,0.15025147422388874,0.396,0.3966033966033966,0.5039844726392739
"3,4-dihydroxybenzaldehyde",0.4927222222222222,0.35434171555555555,0.12417738218303759,0.044,0.04495504495504495,1.1143777089993219
"3,5-dihydroxy-4'-acetoxy-trans-stilbene",0.4875,0.42864373,0.11817497285037598,0.212,0.2127872127872128,0.4980434399973948
"3,5-dihydroxy-4'-ethyl-trans-stilbene",0.4875,0.43273746,0.11386989699015451,0.229,0.22977022977022976,0.48092201229210635
"3,5-dihydroxy-4'-thiomethyl-trans-stilbene",0.4602,0.43714204,0.10801599481113157,0.622,0.6223776223776224,0.21346801499460666
"3,7-dimethylxanthine",0.0875,0.37250851,0.1526003258328104,1.0,1.0,-1.8676795638841337
3-Methoxycatechol II,0.4613094444444445,0.3925953294444445,0.11452974460633263,0.56,0.5604395604395604,0.5999674166408702
3-Morpholinosydnonimine hydrochloride,0.20694444444444443,0.40101146444444447,0.10858585591903583,0.953,0.9530469530469531,-1.7872219024980653
"3-amino-1,2,4-triazole",0.43846,0.15811959999999997,0.14747026612792152,0.187,0.1878121878121878,1.900996094743748
3-methoxycatechol,0.4388888888888889,0.6694519888888889,0.1639442879536826,0.901,0.9010989010989011,-1.4063503088630847
3-methylxanthine,0.43843,0.37161419,0.15298838826310937,0.746,0.7462537462537463,0.4367377861716549
3230-2939,0.10694444444444443,0.4021847494444445,0.10777177243059512,1.0,1.0,-2.739495680004098
3230_2939,0.10694444444444443,0.3479986894444445,0.1311821459405013,1.0,1.0,-1.8375537560525361
