compound_name,num_experiments,num_species,num_taxa,num_pmids,median_effect,trimmed_mean_effect,sign_consistency,leave_one_species_out_stability,leave_one_taxon_out_stability,aggregation_stability,breadth_score,robustness_score,avg_significance_summary,max_significance_summary,taxa_present,species_present,pmids,evidence_tier,robust_flag,thin_evidence_reason,rank,empirical_p_value,null_exceedance_rate,null_z_score
Spermidine,8,6,5,4,27.0,60.5,1.0,1.0,1.0,1.0,1.0,1.0,S:8,blank:8,fungus;insect;mammal;nematode;rotifer,Adineta vaga;Caenorhabditis elegans;Drosophila melanogaster;Mus musculus;Philodina acuticornis;Saccharomyces cerevisiae,19801973;27841876;28386016;31185582,robust,True,,1,0.01098901098901099,0.01,1.1014723882941535
Apple extract,6,3,3,4,20.25,29.166666666666668,1.0,1.0,1.0,1.0,0.9166666666666666,0.95,NS:3;S:3,blank:6,fungus;insect;nematode,Caenorhabditis elegans;Drosophila melanogaster;Saccharomyces cerevisiae,20717869;21319854;22970337;23878618,robust,True,,2,0.11488511488511488,0.114,0.8226877605371464
N-acetyl-L-cysteine,42,5,3,7,16.0,15.75264705882353,0.9047619047619048,1.0,1.0,1.0,1.0,0.9467050280112045,NS:5;S:36;blank:1,NS:2;blank:40,insect;mammal;nematode,Caenorhabditis elegans;Drosophila kikkawai;Drosophila melanogaster;Drosophila virilis;Mus musculus,20819793;26039957;27683245;30243020;31115735;34267196;9447249,robust,True,,3,0.07092907092907093,0.07,1.2971262323319053
Minocycline,28,3,3,6,24.799999999999997,25.712499999999995,0.9642857142857143,1.0,1.0,1.0,0.9166666666666666,0.9394029761904762,NS:3;S:24;blank:1,NS:2;blank:26,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,22330257;23185716;23947005;29152127;30479271;33145977,robust,True,,4,0.000999000999000999,0.0,1.5703321320876857
Alpha-ketoglutarate,18,4,3,8,7.345000000000001,10.08875,0.8888888888888888,1.0,1.0,1.0,1.0,0.9378665277777778,NS:8;S:10,NS:4;S:2;blank:12,insect;mammal;nematode,Caenorhabditis briggsae;Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,24828042;25643626;26190651;31242135;31820364;32877690;33008901;38753230,robust,True,,5,0.005994005994005994,0.005,0.9436110275722522
Carnosine,8,3,3,4,19.75,16.4,1.0,1.0,1.0,1.0,0.9166666666666666,0.9372333333333333,NS:1;S:7,blank:8,fungus;insect;nematode,Caenorhabditis elegans;Drosophila melanogaster;Saccharomyces cerevisiae,12447464;20681748;25643626;27040824,robust,True,,6,0.04795204795204795,0.047,0.8935870653903191
Rapamycin,37,3,3,18,14.0,14.021290322580645,0.972972972972973,1.0,1.0,1.0,0.9166666666666666,0.9294492182505085,NS:6;S:31,NS:4;S:16;blank:17,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,19587680;20074526;20974732;22107964;22560223;23698443;24332851;24341993;24409289;26676933;27091134;27549339;28025308;29874838;30269951;30970250;33008901;33145977,robust,True,,7,0.000999000999000999,0.0,1.721242778918008
Mycophenolic acid,7,4,4,4,1.0,7.051428571428572,0.8571428571428571,1.0,1.0,1.0,1.0,0.92848,NS:4;S:3,NS:2;blank:5,fungus;insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus;Saccharomyces cerevisiae,29186697;32232569;33008901;38041783,robust,True,,8,0.4035964035964036,0.403,0.44118844449630185
Epigallocatechin-3-gallate,15,4,3,9,12.85,11.347692307692306,0.8,1.0,1.0,1.0,1.0,0.9213476923076923,NS:4;S:11,blank:15,insect;mammal;nematode,Aedes aegypti;Caenorhabditis elegans;Drosophila melanogaster;Rattus norvegicus,17156833;19085685;20513639;23834676;26375250;27732590;28992589;31432005;33008901,robust,True,,9,0.5214785214785215,0.521,0.15493191873693563
Vitamin E,30,7,4,12,11.48,9.179166666666667,0.8,1.0,1.0,1.0,1.0,0.9191791666666667,NS:6;S:23;blank:1,blank:30,insect;nematode;protist;rotifer,Asplanchna brightwelli;Caenorhabditis elegans;Drosophila melanogaster;Musca domestica;Paramecium tetraurelia;Philodina acuticornis;Zaprionus paravittiger,10843344;14706234;14706236;15374519;17169403;3374177;4068768;6479253;6821144;7428854;8930618;9406982,robust,True,,10,0.052947052947052944,0.052,0.7056697067615559
Melatonin,11,3,3,5,10.8,11.433333333333332,0.9090909090909091,1.0,1.0,1.0,0.9166666666666666,0.9140848484848485,NS:2;S:8;blank:1,S:2;blank:9,insect;mammal;protist,Drosophila melanogaster;Mus musculus;Paramecium tetraurelia,10100152;11445596;11909680;8290600;9406982,robust,True,,11,0.04295704295704296,0.042,0.8705186614860149
Royal Jelly,8,3,3,4,13.149999999999999,12.845,0.875,1.0,1.0,1.0,0.9166666666666666,0.9086783333333334,NS:1;S:7,NS:3;blank:5,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,12954483;21858156;23132575;27388939,robust,True,,12,0.04595404595404595,0.045,0.9204146478357889
L-Carnitine,7,2,2,2,50.0,83.8,1.0,1.0,1.0,1.0,0.7222222222222222,0.9027777777777778,NS:6;S:1,blank:7,fungus;nematode,Caenorhabditis elegans;Saccharomyces cerevisiae,20550520;33290254,robust,True,,13,0.09290709290709291,0.092,0.9437284034004116
Rifampicin,12,2,2,2,44.349999999999994,43.730000000000004,1.0,1.0,1.0,1.0,0.7222222222222222,0.8965077777777778,S:12,blank:12,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,25720500;30269951,robust,True,,14,0.000999000999000999,0.0,1.5087325247389853
"2,4-dinitrophenol",6,3,3,5,9.5,8.985,0.8333333333333334,1.0,1.0,1.0,0.9166666666666666,0.896485,NS:2;S:3;blank:1,NS:2;blank:4,fungus;insect;mammal,Drosophila melanogaster;Mus musculus;Saccharomyces cerevisiae,15383542;16266268;18505478;38753230;6821144,robust,True,,15,0.25774225774225773,0.257,0.6786543421607104
EUK-134,10,2,2,2,40.0,40.775000000000006,1.0,1.0,1.0,1.0,0.7222222222222222,0.8935527777777778,S:10,blank:10,annelid;nematode,Aeolosoma viride;Caenorhabditis elegans,10968795;25190068,robust,True,,16,0.001998001998001998,0.001,1.2074918070781542
Ursolic acid,5,3,3,4,12.78,16.512,0.8,1.0,1.0,1.0,0.8611111111111112,0.8779008888888888,NS:2;S:3,NS:2;blank:3,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,27773812;28673026;30496629;30688027,robust,True,,17,0.14385614385614387,0.143,0.7685030386890448
Rhodiola rosea extract,17,3,2,6,13.6,12.493333333333334,0.8823529411764706,1.0,1.0,1.0,0.8055555555555555,0.8709083660130719,NS:2;S:15,blank:17,insect;nematode,Bombyx mori;Caenorhabditis elegans;Drosophila melanogaster,17990971;18536978;19634056;23704949;24472572;26497336,robust,True,,18,0.014985014985014986,0.014,0.8798063041815936
Propyl gallate,9,3,2,3,11.76,11.128888888888888,0.8888888888888888,1.0,1.0,1.0,0.8055555555555555,0.870851111111111,NS:2;S:7,blank:9,insect;nematode,Caenorhabditis briggsae;Caenorhabditis elegans;Zaprionus paravittiger,18755260;31820364;8950031,robust,True,,19,0.057942057942057944,0.057,1.145064228838944
Cranberry extract,7,2,2,4,14.4,18.071428571428573,1.0,1.0,1.0,1.0,0.7222222222222222,0.8708492063492064,S:7,blank:7,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,22864793;24316039;24566444;26159161,robust,True,,20,0.025974025974025976,0.025,1.0197895287064453
Baicalein,9,2,2,4,16.54,17.944444444444443,1.0,1.0,1.0,1.0,0.7222222222222222,0.8707222222222222,NS:1;S:7;blank:1,blank:9,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,22114686;23339711;26778291;33809299,robust,True,,21,0.007992007992007992,0.007,1.0529014427996264
